"Step","dataset: cifar10 shuffle_degree: cifar10 - TEST/x1","dataset: cifar10 shuffle_degree: cifar10 - TEST/x1__MIN","dataset: cifar10 shuffle_degree: cifar10 - TEST/x1__MAX","dataset: cifar10 shuffle_degree: cifar10 - TEST/x2","dataset: cifar10 shuffle_degree: cifar10 - TEST/x2__MIN","dataset: cifar10 shuffle_degree: cifar10 - TEST/x2__MAX","dataset: cifar10 shuffle_degree: cifar10 - TEST/x3","dataset: cifar10 shuffle_degree: cifar10 - TEST/x3__MIN","dataset: cifar10 shuffle_degree: cifar10 - TEST/x3__MAX","dataset: cifar10 shuffle_degree: cifar10 - TEST/x4","dataset: cifar10 shuffle_degree: cifar10 - TEST/x4__MIN","dataset: cifar10 shuffle_degree: cifar10 - TEST/x4__MAX","dataset: cifar10 shuffle_degree: cifar10 - TEST/logits","dataset: cifar10 shuffle_degree: cifar10 - TEST/logits__MIN","dataset: cifar10 shuffle_degree: cifar10 - TEST/logits__MAX"
"49","0.8926511987422014","0.8695256975155324","0.916246787034017","0.8274629885043063","0.8226243318676276","0.840431274048482","0.6727317674150917","0.6174255884671371","0.695584891688018","0.43503689476396135","0.3897922946494739","0.4797169411167463","0.12401895240194412","0.10678161600223927","0.15748199845394145"
"50","0.9027222382175704","0.8812874761429539","0.9198374026397031","0.8279123388018179","0.8207471293330535","0.8426460475862448","0.670436730032705","0.615237743685903","0.6954885941018882","0.4363189458451776","0.3755152807844227","0.47629714991994965","0.11484661112676917","0.10209416637784274","0.1224558961642235"
"51","0.9014079038188233","0.8749711858149821","0.9191813960120943","0.8263350309720013","0.8217485112089897","0.8384483897578908","0.6698558943547253","0.6154997298774348","0.6954215450552343","0.4321366224601533","0.3779318119810106","0.4764109357506323","0.10982706755968177","0.10148773968167693","0.1187709752830476"
"52","0.8995892983081226","0.871901388276345","0.9164966182297521","0.8291531677956422","0.8225718438746696","0.8414529669342664","0.6711192364943379","0.6220994281904304","0.6961392539199528","0.4347239252832695","0.3784983494462498","0.4847671732131631","0.11422138119087757","0.10603425089965457","0.12501206639706505"
"53","0.9003109112583884","0.8765933538202396","0.9148054350957868","0.831811448444109","0.8253399111621469","0.8419995868146868","0.6720494496520995","0.6166332756884007","0.6988392026885616","0.43844271577438443","0.37407042833885495","0.4816100276838859","0.11712014770421228","0.1133028796427764","0.12377021296072148"
"54","0.9008279727358983","0.8740319359312807","0.9153101879091298","0.8274231247433808","0.8196180422397756","0.8431868711224777","0.6705701726061193","0.6211646221095813","0.6874220957378785","0.43606142700703443","0.37685526116773277","0.47568423152725114","0.11770723145036986","0.11179754022612585","0.12330875024572548"
"55","0.9004962413569675","0.8744049971794446","0.917731979641749","0.8311618788112018","0.8234794488401279","0.8445091588663012","0.6725334784279559","0.6181901187885425","0.6925626587505446","0.43683050218699393","0.3764940017832231","0.47737010102007643","0.11812223080279181","0.11228414267885384","0.12807654332160462"
"56","0.8988961738944307","0.8697699477700322","0.9158020140906072","0.8287901463279235","0.8214049666400102","0.8417179293542019","0.669879208268036","0.6157740987055167","0.6909375447481376","0.4335576435476698","0.37249346758745094","0.48434677471699333","0.1158584384837074","0.11098498990467134","0.1219836560088306"
"57","0.9002482927180774","0.8708671853923949","0.9178894317226656","0.8307571967618042","0.825289798457862","0.8410731612520038","0.6724203864118149","0.6233235961706877","0.6961596784449547","0.437315201217631","0.3810021949064958","0.4855801036817737","0.12304155311266857","0.11568697815573747","0.13232604801759115"
"58","0.8992226977507474","0.8693762860426356","0.9178981406167668","0.8298280186041884","0.8213954090711569","0.8461743104202195","0.6703987705761507","0.6138077083326069","0.6952541728992203","0.43807746637966016","0.3858367796792353","0.4803358085578517","0.11738654508969741","0.11264491230949326","0.12384230472178102"
"59","0.9017539546183615","0.8728877917027703","0.9197710940374918","0.828426766671931","0.8206486964421081","0.8436966510850628","0.6682267801143538","0.6149134999586316","0.6889929665498978","0.43351320971221874","0.3749208887358141","0.4810883911990894","0.11810131264973128","0.10817230796670588","0.12617991216716465"
"60","0.8979084794842268","0.8660260439909244","0.9148255533817965","0.8274485945546277","0.8176225160862713","0.8386789082657602","0.6687647856474873","0.6135125424840872","0.6894699925897717","0.4299681626120447","0.37155082765183006","0.4748754312731774","0.1141072966281862","0.09989739402641724","0.12339249555319258"
"61","0.8981941173405044","0.873317750769788","0.9147735030253739","0.8277440000589684","0.819760831990519","0.8391294826355238","0.669770134947589","0.6176427693102337","0.6969980611923156","0.42921564122596034","0.3771174260783575","0.47517588212411876","0.11525177482873829","0.10840563443434993","0.12173617757075399"
"62","0.8958000976131","0.8631519292788935","0.9157949767326001","0.8289546325915269","0.8228119465995893","0.8413476853472152","0.667829914928776","0.6203811265122573","0.6852757693127279","0.43471473564521146","0.3826719710259471","0.47831136620336007","0.11913089397973296","0.11389173213883878","0.1287028472306584"
"63","0.9016853501621236","0.8798495585141416","0.9142055697670043","0.8283871920516018","0.8241018006628869","0.837590008792174","0.6688957964125495","0.6214475452187085","0.6900215476848376","0.43406326586146804","0.37644313528938833","0.48227451189617576","0.11564251140553444","0.10243249534842304","0.1263989697818068"
"64","0.9011880097915275","0.8779624807902812","0.9186025035847875","0.8296091037377109","0.8214077897860157","0.8412640053280432","0.6660187607774043","0.6097997945983501","0.6893543211687763","0.4308775125953868","0.36828939511336295","0.4816524813463633","0.11447868026651631","0.10141216154907669","0.1218454767844656"
"65","0.9001485131588051","0.8695229479952491","0.9172446645463236","0.8286554067648506","0.8210118992901613","0.8415374022955372","0.6683565020077402","0.6188927028408728","0.6866866199443878","0.4301785858162186","0.37334153821766863","0.47827113301984325","0.11412570269896494","0.11039261484489948","0.12387225366208941"
"66","0.8992614618345958","0.8703925249306242","0.914988525488337","0.8304788022724352","0.8257208694125039","0.8373812143925674","0.6702051161035639","0.6204601344704216","0.693668314302799","0.43236303282553645","0.37446659880907207","0.48672813802617604","0.11497117660327227","0.10273932698070085","0.12348708192294834"
"67","0.9001572376111369","0.8710895048935632","0.9157241015968336","0.8282388449433548","0.8215002152777606","0.8416131623080899","0.6697768552517929","0.6235375007845123","0.6891353074540335","0.43305677690597455","0.3762942429079174","0.4769989453796279","0.11304795974280378","0.10553959283739897","0.12182082932444478"
"68","0.9016208483986675","0.8739061705153635","0.9158914457782854","0.8288431832675869","0.8222511901355436","0.8425339034206756","0.6700259545550719","0.6214333804510543","0.688955694688772","0.4332042943802264","0.3824830531406186","0.4765247458931097","0.11635479049014656","0.1068340375160397","0.1235125936382377"
"69","0.9003721909600897","0.8772980645276908","0.9158396824885957","0.8266703804979901","0.8154594486227926","0.8392685934608692","0.6687896516684534","0.6182022016083109","0.6905321100984467","0.4321489882018173","0.37508672145965327","0.4832071065548318","0.11532498801076978","0.10694778534991595","0.12108661717806612"
"70","0.9007345247502074","0.8710177447126544","0.9167367433562468","0.8306028682640005","0.8264955849973654","0.8409354129560285","0.6683781370294908","0.612941419182827","0.6899570325015394","0.4343570139413182","0.3742519321042358","0.4837190087768588","0.11778327715825535","0.10645161045815374","0.12577802900987858"
"71","0.901917165346419","0.876918000539447","0.9166205534863456","0.8278108354024276","0.8195273247813611","0.8377667510921177","0.6674283665964051","0.6138271036148956","0.6921139958930724","0.42791132837781476","0.37122361085425626","0.47345132088407127","0.11284289041081093","0.10281972365144167","0.12397053609817209"
"72","0.8997377813595744","0.8731520791451909","0.9165125559306501","0.8296883148302023","0.8255002714319165","0.8399348774275426","0.6698913072881465","0.6202788852403589","0.6945135228446773","0.43102000689929965","0.37085841633894673","0.48703503300964884","0.11135592149746176","0.09590134126116237","0.1246633763554379"
"73","0.8998771644008676","0.8756737984535551","0.916067811331376","0.828145678124738","0.8246210405854698","0.8378615972948623","0.6709216362072594","0.6212597480757788","0.6977026292451398","0.43421993698706207","0.3805636576718249","0.48798649367899444","0.11854330422984222","0.1129121442004355","0.12408508853003217"
"74","0.8989795750252808","0.8744141153661258","0.9174434766817426","0.8267248279501263","0.8203288272624181","0.8391886040783877","0.6696068117933506","0.6232355072245678","0.6933127144942448","0.43342239980061353","0.38582179306359077","0.4844906437901539","0.1152908990285336","0.10363841218310053","0.12607887949401972"
"75","0.8982901235645521","0.8695691301742179","0.91574317677831","0.8277520990224483","0.8171285327067417","0.8402311743348241","0.6674802440346232","0.609179040610785","0.6957143112845322","0.4296880562514911","0.3718829048188066","0.478183564309521","0.1115683807710865","0.09810615346223657","0.12476424751300416"
"76","0.9003625713033865","0.8721753850253998","0.9172757300149946","0.8283621957336367","0.8227411726108482","0.8388039759789934","0.6692416201322507","0.6234822983254705","0.6885762935428642","0.43371096544474735","0.3891523895793303","0.4783786120332435","0.11382937697606137","0.1012280168037478","0.12815572963771077"
"77","0.9007132633391699","0.8713096713171478","0.9140895370480464","0.8277202835565933","0.8223476089866254","0.8391332714627492","0.6654139532894997","0.60873453429648","0.6898544142338101","0.43539090597666585","0.38882575967893646","0.48637003599793927","0.11762163402051493","0.10765762124710787","0.12849396831734056"
"78","0.8968509600390326","0.8700699309908282","0.9160714711170342","0.8281936748444083","0.8226135450405576","0.8381655011728332","0.6707371772191224","0.624868475898617","0.6909674019416461","0.43569043674101277","0.39009461753765384","0.48507122645469636","0.11526181341545308","0.09712680338085936","0.13090476691867634"
"79","0.8981951282107906","0.8763500221218906","0.9171347411694867","0.8261324577572446","0.8178464584204813","0.8384246442601124","0.6686761963317607","0.6144758328130837","0.6970856129126041","0.43654278928279133","0.39664998508907434","0.48265486897413956","0.11465421087245846","0.1033547549690709","0.12856393164182134"
"80","0.8983251555125951","0.8697614356670109","0.9155056616612123","0.8276863303805395","0.8219124233618333","0.8418142626922502","0.6650610084589117","0.6091000016266169","0.6904654958034022","0.43784907181991567","0.3965620638710763","0.4834207625090063","0.1143448157442761","0.10477810819825543","0.12641857841477497"
"81","0.8996568806410994","0.8698240820648971","0.9203632467959629","0.827353604825925","0.8180310887878024","0.8440901915073667","0.6664236103717224","0.6142987368000064","0.6895911210198071","0.4328846352469897","0.3794672039344636","0.48879593321405873","0.11398729763387788","0.09647282996253428","0.1295530869068456"
"82","0.9018007251828645","0.8750085763042347","0.9178037970877427","0.8276788469233523","0.8189620859130351","0.8408658558775667","0.6661833516230363","0.6097192207369523","0.6913586678502852","0.43458563030797526","0.39232155539435537","0.47845249351892627","0.11127550680152223","0.0997362009618138","0.12347610479494191"
"83","0.9010672050634658","0.8761269391301669","0.9202964377839442","0.8299713323198443","0.8237563902656052","0.8427691441473437","0.6719079013891779","0.624117747847426","0.7002413997176098","0.43868034979197146","0.39937070321979085","0.4850356656971272","0.11688288853518508","0.10290251246167698","0.1272615137277694"
"84","0.8976458144362365","0.866650778474622","0.9180245165214262","0.8258314593987579","0.8201905511844501","0.8387107514321549","0.6684221126193977","0.6151965793307211","0.6960701104283119","0.43819079777264563","0.3956531558632954","0.49231043239662037","0.11629098429618161","0.10739605353241376","0.1277514092288205"
"85","0.8968613267198431","0.8696802699806483","0.9180152742098981","0.8277568082625059","0.822236297939677","0.8408920936570552","0.6680756926087996","0.6153341747163018","0.6923388297023378","0.43744449131476526","0.4005123298749407","0.4853287332545704","0.11736255388283834","0.10518647225815662","0.1282476479588425"
"86","0.8986761383183197","0.874375524736801","0.9168953281178291","0.8253264558575168","0.8194319954812137","0.8396261370184722","0.6689776838962493","0.6231747748780029","0.6919187247302498","0.4365262373503329","0.3919329945557334","0.48592271292186534","0.11236042661755574","0.09135581043362392","0.12873339468132608"
"87","0.9009417835696981","0.8750585421541295","0.9152099889180132","0.8286817628981317","0.8214196106012542","0.8382289324780839","0.6710973804437199","0.6251394392967352","0.6942982719114889","0.4371002926489018","0.3950720380253772","0.4840189788361004","0.11606182011511006","0.10088016711258746","0.12783953480612714"
"88","0.8992184202848623","0.8754815775317246","0.9148764584217269","0.8258886588203427","0.8208862048754519","0.8352216788073681","0.6686127121658807","0.6177252016014954","0.696155975221069","0.4361403280796287","0.3949852763730922","0.48761228231474807","0.11845399636077038","0.1062742235865354","0.13019427294512026"
"89","0.9011747376578229","0.8779096521040421","0.915873161043732","0.8273034227761795","0.8226340957167555","0.8398239088222551","0.6665482651432061","0.6136350371089629","0.695175346546343","0.4311756138422832","0.38190248271138166","0.484585851691756","0.11413360574089351","0.09981766458271836","0.1316264033700583"
"90","0.8989338208079584","0.8738080161040805","0.9152860470942309","0.8255877348894332","0.8196338457240008","0.8378290734751407","0.6705116200841572","0.6224996808927838","0.6972348257371304","0.43670914052946763","0.39788493519656454","0.48035874108025467","0.11684061603201017","0.11080871473034337","0.12898247246110123"
"91","0.8984734405526404","0.8728930662803587","0.9144941412394982","0.8249127629832235","0.8191878171394509","0.8389411916933707","0.6677915190040726","0.6160756537071261","0.6919504556574255","0.4352051717485491","0.3898615423478533","0.4851492502979163","0.1160530572122018","0.10605112510987476","0.13085645655378908"
"92","0.8979808962585129","0.8722154220240503","0.9163694257329073","0.8257812985732124","0.8163323695029268","0.8386750991229642","0.667227304851921","0.6086721619175408","0.6941614676136466","0.4334387818635882","0.3847187785111342","0.4861949062954222","0.11448898126966339","0.10118953693877","0.1273503494423087"
"93","0.8962953554438594","0.8729289617974043","0.91314407270582","0.8255095448544054","0.8209980417021143","0.8360887900411778","0.6666736837089122","0.6120133750331768","0.6899372110655251","0.4317873783922336","0.3832225313025192","0.48533455344219545","0.11626687222444435","0.10325821866622698","0.13315375613156305"
"94","0.8988343705698119","0.8740531720686577","0.915001302475145","0.8254482944028899","0.8204286044484717","0.8368258888269825","0.6681906404460121","0.6142493450795932","0.6936580861016186","0.4339595850748742","0.38592046703041155","0.4855269105809674","0.11529301947662021","0.10148646399974258","0.1316966407756446"
"95","0.8977594346369937","0.8710403339832331","0.9149839422833311","0.8265924246024647","0.8205900495740042","0.8370007579078123","0.6692130340074613","0.61275055963359","0.7013442201473127","0.43479954218002415","0.38097121012538143","0.49252876501735227","0.11539554731814428","0.09979662092993181","0.13249895257177252"
"96","0.8988729132199782","0.8746796690106071","0.9167888095018267","0.824378239974092","0.8160669397200471","0.8376854108808583","0.6673546680400457","0.6159554739115058","0.6869048837573181","0.43544755211994834","0.38253569069214904","0.49109357757767624","0.11608719319446571","0.10233329163046344","0.12938216632870125"
"97","0.8962393869351628","0.870325194739626","0.9149886711098086","0.8248871775801467","0.8201899258273793","0.8379091328348763","0.6684653283222226","0.618038242162689","0.6944047272889664","0.43247134485042577","0.37844160604084165","0.48804796788149035","0.11479556134239378","0.1042379775755437","0.12928044634383756"
"98","0.8978208004935965","0.8746956327446491","0.9171336268882095","0.8248370868412728","0.815040789677835","0.8406301567338469","0.6672488727963239","0.6133979714561512","0.6891003787859438","0.4330912069760015","0.3774396391950448","0.48497864451096034","0.11541114532416552","0.10029354346578989","0.13306660783502255"
"99","0.8977735267083792","0.8725790715740842","0.9165407652254488","0.8246636890040805","0.8174733315002766","0.8378451236989483","0.6676332548753314","0.6126939976972028","0.6932815144909363","0.43296520200859767","0.3798862799545401","0.48517771705010565","0.11360202313363339","0.10112403906747602","0.1291235626145208"
"100","0.897316818999527","0.8709159651261628","0.9140781534117136","0.8240896077810422","0.8159883995963843","0.838226138540227","0.6673854160617919","0.6170846972980286","0.688160241586984","0.43283484930122385","0.382379854101472","0.483335467750877","0.11549720927123805","0.1022430709893832","0.13081353203434806"